file_path,feature
Pallett-Till-The-Morning-320.mp3,"[-237.30972     155.75966      -0.63729125   40.783        -3.0449812
   16.801994     -3.5065587    14.363805      2.2502027    -1.9346117
  -11.601371     -1.467377      0.32246616]"
Pallett – Dream Away With Me.mp3,"[-188.02957     160.07114       4.953541     30.21197      -6.3449473
   12.828031    -11.6286955    11.754789     -0.60250384   -2.223357
  -15.8221245    -0.35442978   -3.1591926 ]"
@REMIXERAP☚میکس رپی Baroon.mp3,"[-118.84097     126.54644      12.277719     56.51148      -7.3755817
   30.693817    -10.703701     11.092234     -0.36005434    0.8224215
   -4.045137      6.6406503     8.628023  ]"
1|14_Fascinating_Flower_Hadi_Pakzad_Masoud_Fayyazzadeh_320.mp3,"[-122.61182    108.55773    -14.849931    44.735374    -7.722861
   25.026423   -20.806177    25.709286   -10.879278     7.429417
   -1.7038143    6.213837    -2.2304301]"
آنِ دِگرانی_T'others'.mp3,"[-2.5805035e+02  1.3979077e+02 -4.5143833e+00  2.7519334e-02
 -8.6503105e+00  1.2953464e+01 -1.0916578e+01 -8.6518440e+00
 -1.3666615e+01 -8.8692932e+00 -1.7266048e+01 -2.2981741e+00
 -5.3920979e+00]"
Cigarettes After Sex – Keep on Loving You.mp3,"[-162.35355    164.7355       9.435429    40.506355    -3.7003183
   32.98212      1.2949398   11.485077    11.700735    -7.3110256
    3.2465553    2.353913     1.1207335]"
1729444667_Shayan Roohi X Sicatch - Bihess.mp3,"[-172.94257    156.14725      1.8837446   20.543427   -10.944002
   17.306065    -6.8876457    2.7201874   -5.24787     -2.394827
  -11.933907    -6.1327825   -7.2001386]"
4_5771704784692186651.mp3,"[-91.03171   132.92183   -29.606346   44.471313  -28.199703   34.185658
  -3.126621    7.337849   -1.9893287   1.5370314  -8.880277   -2.545125
  -2.7908528]"
Hoomaan - To Mano Dari (320).mp3,"[-144.09808     132.66455      -8.112957     34.163883    -11.5299635
   32.48494      -4.9869256     4.251079     -6.18783      -0.28603983
   -3.8343897    -2.2975469    -5.992116  ]"
Hoomaan - Parvaneha.mp3,"[-149.11508    129.98763     -3.1462507   34.80942    -17.561316
   31.684961    -3.4426987    3.4384754   -0.9593834   -0.7236699
   -7.1822915   -2.237093    -1.2492154]"
@HipHopFree - Zemestoon - Hoomaan   Arown.mp3,"[-142.39394    141.89891     -5.6358123   47.432365    -6.625486
   33.77958     -3.707878     9.257342     1.1344646   -2.6038954
  -10.417533    -1.1500958   -6.7600913]"
Afshin Moghadam Zemestoon.mp3,"[-1.9779987e+02  1.5177652e+02 -3.3419682e+01  2.5153898e+01
  6.0818615e+00  1.0206883e+01 -1.3650785e+01 -3.0425903e-01
 -8.2350674e+00 -7.8133392e+00 -2.0233980e+01 -1.2215411e+01
 -1.9431636e-01]"
15 - Tonight (feat. Naghib Shanbehzadeh) - King Raam (320).mp3,"[-165.36778    160.98627     -7.1990843   21.604095     1.5924007
   23.8818      -5.349243     4.517686     9.477713     3.6892037
   -5.4411564    1.3847972    1.8618406]"
1|11 - Monge (Guitar Version) - Heydoo Hedayati (320).mp3,"[-302.0419      141.89128      32.846085     40.36751      26.921455
   20.10338      -0.54359597    2.235927     -3.1349962   -12.624177
  -12.543941      2.96605     -11.355989  ]"
Heydoo Hedayati.Ghatar-e Khaali.mp3,"[-186.02347     158.99661      -6.3507314    22.71937      -4.1838384
   12.916099    -10.907566     -0.28557146   -3.1645691    -5.616619
   -8.926824      2.7475343    -6.4052715 ]"
Hayedeh-Dasthaye-To-320.mp3,"[-195.16252    147.44124    -35.22469     36.040047     1.4743154
    8.0505495  -12.605876     7.8493977   -6.4795237   -4.235241
   -4.9680667   -3.708386    -4.3071404]"
Hayede Saghi.mp3,"[-181.44104    145.70349    -41.183815    35.98749      3.6144936
    9.9808655  -16.213175     8.492498    -5.61335     -6.7762146
   -5.950585    -2.4335608   -8.412863 ]"
Crying in the Rain - a-ha (FLAC).flac,"[-195.84933     137.42387      -4.701294     30.383846      0.5594608
   29.10953     -11.575246      9.011663     -3.3610873     0.9392996
   -4.6645365     2.8015747    -0.82536674]"
shayea_asabani.mp3,"[-120.76039    118.86684    -17.076097    42.669384    -5.4869246
   21.345766    -9.497153     8.157607    -4.5498567    6.5213165
   -5.6019573    5.7905717   -1.1773653]"
@Nalepale - BBAL - BITCH.mp3,"[-122.016426  126.514824   14.660803   43.377876  -26.571035   29.40791
  -10.659663   10.119439   -7.693789    5.464105  -10.574319    9.601767
   -4.363254]"
Sogand-Hess-Kon.mp3,"[-126.77433    130.86949      7.7544622   17.793959    -2.2451408
   19.852154   -14.52187     19.281424    -1.945953    -0.6131341
   -2.138968     9.3979435   -5.4349875]"
imaliih - Sogand - Neshastom سوگند-نشستم.mp3,"[-173.63116    132.15063     18.490274    34.34608     -9.885139
   27.63875    -20.908539    18.352562     2.7688296   -7.226054
    2.3793316    3.8818846   -3.6013055]"
Talkh [ Remix ] - @Deldar.mp3,"[-222.94014     121.89234      10.990851     38.08151      -4.087236
   21.927118     -8.859415     12.731714      0.72981536   -2.5452986
   -3.3455632    -1.2667795    -3.0689871 ]"
1|7 - Call the Coroner - Future (320).mp3,"[-113.21502     142.40674      -4.715339     30.247467    -32.680347
   28.03189      -3.833014     12.225819     -5.500341      1.6010901
   -2.070339     -5.3936334     0.43283376]"
2_5361746080365033285.mp3,"[-180.92499     147.83408       6.946701     46.46963       0.39881372
   21.164383     -0.77268595   14.125148      4.777808     -0.24520664
    7.3452077     3.6640692    -0.71069205]"
Reza-Yazdani-Koja-Gomet-Kardam-256.mp3,"[-217.86205     142.40291      10.14248      36.73146       6.478915
   26.042345     -4.923086     10.031258      1.0882682     0.80476946
   -6.150276     -1.7702652    -1.1261123 ]"
1|9 - Tehran Tehran - Reza Yazdani (320).mp3,"[-161.36299     133.58624     -23.41535      46.772774     -2.4957535
   28.393085     -9.319933     10.477238     -0.16998535    0.33784333
   -8.432358      3.2674007    -2.1027062 ]"
1729175938_Poori - Daddy's Back.mp3,"[-142.66977    114.955795   -11.406514    26.459667   -14.213667
   30.820301   -22.280056    16.401423    -7.557857     1.7740221
  -10.346815     9.218556    -3.8351257]"
1729175942_Poori - Be Zendegi Etebar Ni.mp3,"[-119.39469    104.26107    -23.180576    30.631039   -13.509091
   25.403463   -20.868923    12.1879425  -11.615506     3.000172
  -14.980448     5.968965    -5.7639136]"
Mark Eliyahu - Journey.mp3,"[-2.6581094e+02  1.9464435e+02  1.3418105e+01  6.6622591e+00
  3.4290807e+00  9.1463747e+00  4.6215234e+00  1.0237295e-02
 -5.7298541e+00  6.3732643e+00  5.3454237e+00 -6.6857725e-01
 -8.7708503e-01]"
